label,macro_states,A1,A2,A3,A4,r1,r2,r3,r4,summary_classification,L_star,strongly_lumpable,structural_note
0|1|2|3,4,0.173286795140,0.346573590280,0.519860385420,0.693147180560,1.000000000000,1.000000000000,1.000000000000,1.000000000000,full_reference,1,true,"full-state identity reference"
0|1|23,3,0.129965096355,0.310613331224,0.483189874934,0.656551139386,0.750000000000,0.896240625180,0.929460848501,0.947203072883,retained_through_L4,1,false,"three-state observation formed by merging one adjacent pair on the cycle"
0|12|3,3,0.129965096355,0.310613331224,0.483189874934,0.656551139386,0.750000000000,0.896240625180,0.929460848501,0.947203072883,retained_through_L4,1,false,"three-state observation formed by merging one adjacent pair on the cycle"
0|13|2,3,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,undetected_through_L4,,false,"three-state observation formed by merging one opposite pair on the cycle"
01|2|3,3,0.129965096355,0.310613331224,0.483189874934,0.656551139386,0.750000000000,0.896240625180,0.929460848501,0.947203072883,retained_through_L4,1,false,"three-state observation formed by merging one adjacent pair on the cycle"
02|1|3,3,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,undetected_through_L4,,false,"three-state observation formed by merging one opposite pair on the cycle"
03|1|2,3,0.129965096355,0.310613331224,0.483189874934,0.656551139386,0.750000000000,0.896240625180,0.929460848501,0.947203072883,retained_through_L4,1,false,"three-state observation formed by merging one adjacent pair on the cycle"
0|123,2,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,undetected_through_L4,,false,"two-macrostate observation; no time-reversal asymmetry detected through L=4"
01|23,2,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,undetected_through_L4,,false,"two-macrostate observation; no time-reversal asymmetry detected through L=4"
012|3,2,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,undetected_through_L4,,false,"two-macrostate observation; no time-reversal asymmetry detected through L=4"
013|2,2,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,undetected_through_L4,,false,"two-macrostate observation; no time-reversal asymmetry detected through L=4"
02|13,2,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,undetected_through_L4,,true,"two-macrostate observation; no time-reversal asymmetry detected through L=4"
023|1,2,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,undetected_through_L4,,false,"two-macrostate observation; no time-reversal asymmetry detected through L=4"
03|12,2,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,undetected_through_L4,,false,"two-macrostate observation; no time-reversal asymmetry detected through L=4"
